period,period_type,metric,value,unit,company,segment,geography,source,source_url,source_date_accessed,definition,notes
2024,annual,shopee_gmv,100473189274,USD,Sea Limited,Shopee,Multi-country (NOT Indonesia-only),Sea Limited FY2025 results exhibit (back-calculated from FY2025 GMV and stated YoY growth),"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,GMV includes shipping and other charges per Sea glossary,FY2025 GMV US$127.4B was +26.8% YoY; 2024 implied as 127.4e9/1.268. Not Indonesia-specific.
2024,annual,shopee_gross_orders,10927672956,orders,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit (back-calculated),"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,Confirmed orders regardless of settlement/returns,FY2025 orders 13.9B were +27.2% YoY; 2024 implied as 13.9e9/1.272. Rounding retained; verify against primary PDF table if published.
2024,annual,shopee_gaap_marketplace_revenue,10862263000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,GAAP marketplace revenue for Shopee,Prior-year column in FY2025 exhibit
2025,annual,shopee_gmv,127400000000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,GMV includes shipping and other charges,Primary exhibit
2025,annual,shopee_gross_orders,13900000000,orders,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,Confirmed orders regardless of settlement/returns,Primary exhibit
2025,annual,shopee_gaap_marketplace_revenue,14545894000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,"https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm",2026-08-12,GAAP marketplace revenue for Shopee,Primary exhibit
2026Q1,quarter,shopee_gmv,37300000000,USD,Sea Limited,Shopee,Multi-country,Sea Limited 1Q2026 results PDF,"https://cdn.sea.com/investor/1Q2026/HEEdeRDe0NyiZ1PrWIvH/2026.05.12%20Sea%20First%20Quarter%202026%20Results.pdf",2026-08-12,Quarterly GMV,Primary IR PDF
2026Q1,quarter,shopee_gross_orders,4000000000,orders,Sea Limited,Shopee,Multi-country,Sea Limited 1Q2026 results PDF,"https://cdn.sea.com/investor/1Q2026/HEEdeRDe0NyiZ1PrWIvH/2026.05.12%20Sea%20First%20Quarter%202026%20Results.pdf",2026-08-12,Quarterly gross orders,Primary IR PDF
