year,analytical_entity,source_platform,entity_type,metric,value,unit,phase,value_status,comparability,source_publisher,citation_url,confidence,notes
2022,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,35.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Kementerian Perdagangan journal / Bisnis),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,MEDIUM,From processed market_position; secondary MW estimates
2023,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,30.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; secondary MW estimates
2024,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,23.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
2022,Shopee,Shopee,standalone,market_share_pct,36.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Kementerian Perdagangan journal / Bisnis),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,MEDIUM,From processed market_position; secondary MW estimates
2023,Shopee,Shopee,standalone,market_share_pct,40.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; secondary MW estimates
2024,Shopee,Shopee,standalone,market_share_pct,46.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
