year,analytical_entity,source_platform,entity_type,metric,value,unit,phase,value_status,comparability,source_publisher,citation_url,confidence,notes
2025,Combined Tokopedia + TikTok Shop,Tokopedia + TikTok Shop,combined,market_share_pct,38.0,percent,phase3_post_break,OBSERVED,NOT COMPARABLE,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
2025,Shopee,Shopee,standalone,market_share_pct,54.0,percent,phase3_post_break,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
