indicator_code,indicator_name,country,country_iso3,year,value,source,source_url
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2024,55.4023074418699,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2023,54.4301619794382,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2022,53.0450710420578,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2021,55.6288131852593,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2020,58.9338922834343,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2019,57.9304645761067,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2018,56.9798956322201,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2017,57.2755729741479,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2016,57.8268008139293,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),Indonesia,IDN,2015,57.4500178976656,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/NE.CON.PRVT.ZS?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2025,1.9133344329508,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2024,2.18151273615189,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2023,3.66938654859761,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2022,4.20946463714784,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
