year,analytical_entity,source_platform,entity_type,metric,value,unit,phase,value_status,comparability,source_publisher,citation_url,confidence,notes
2020,Legacy Tokopedia,Tokopedia,standalone,gmv_estimate_usd_billion,14.0,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2020,Shopee,Shopee,standalone,gmv_estimate_usd_billion,14.2,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2023,Shopee,Shopee,standalone,gmv_estimate_usd_billion,21.52,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2024,Shopee,Shopee,standalone,gmv_estimate_usd_billion,26.0,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2025,Combined Tokopedia + TikTok Shop,Tokopedia + TikTok Shop,combined,gmv_estimate_usd_billion,21.9,USD_billions,phase3_post_break,OBSERVED,NOT COMPARABLE,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2025,Shopee,Shopee,standalone,gmv_estimate_usd_billion,31.2,USD_billions,phase3_post_break,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
