panel,year,shopee_share_pct,challenger_entity,challenger_share_pct,gap_pp,value_status,comparability,shopee_source,challenger_source,confidence,notes
phase1_standalone,2022,36.0,Legacy Tokopedia,35.0,1.0,OBSERVED,DIRECT,https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,MEDIUM,Standalone dyad; not Combined
phase1_standalone,2023,40.0,Legacy Tokopedia,30.0,10.0,OBSERVED,DIRECT,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,Standalone dyad; not Combined
phase1_standalone,2024,46.0,Legacy Tokopedia,23.0,23.0,OBSERVED,DIRECT,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,Standalone dyad; not Combined
phase3_post_break,2025,54.0,Combined Tokopedia + TikTok Shop,38.0,16.0,OBSERVED,NOT COMPARABLE to Legacy Tokopedia history,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,STRUCTURAL BREAK — Combined ≠ Legacy Tokopedia
derived_baseline,2024,,Combined Tokopedia + TikTok Shop (DERIVED),34.0,,DERIVED,CONDITIONAL,,data/processed/market_position/market_position_indonesia.csv,MEDIUM,Additive 23+11 baseline for vs Combined 2025 only
